Theme,Ticker,Company,Reason,Direction,Role
Space,ASTS,AST SpaceMobile,Direct-to-handset satellite model with major carrier partners; successful test satellites create upside if execution and financing risks are managed.,Long,High-beta
Space,RKLB,Rocket Lab,"Most credible commercial small-launch provider after SpaceX, with a growing manifest and Neutron in development, leveraged to rising launch demand.",Long,Core
Space,LHX,L3Harris,"Defense and space systems prime with recurring government contracts, providing cash-flow stability to balance higher-beta pure-play space names.",Long,Core
Space,LMT,Lockheed Martin,"Major defense prime with significant space segment exposure via missiles, satellites and launch partnerships, providing a stable cash-flow anchor in the theme.",Long,Defensive
Space,NOC,Northrop Grumman,"Key contractor for national-security space and missile-defense programs, giving exposure to government space budgets with strong balance sheet and backlog.",Long,Defensive
Space,KTOS,Kratos Defense & Security,"Specialized defense and space contractor focused on drones and satellite communications, offering higher growth but more execution risk than large primes.",Long,High-beta
Space,SPCE,Virgin Galactic,Tourism-only model with minimal revenue and high cash burn; a classic concept stock to short versus profitable aerospace and defense names.,Short,High-beta
Space,DXYZ,Destiny Tech 100,Broad tech exposure vehicle sometimes traded as a speculative proxy for innovation themes; not a pure space play and can be shorted as a froth indicator.,Short,High-beta
Space,USAR,U.S. Antimony,"Identified as a critical domestic supplier of antimony, a strategic mineral essential for munitions, night-vision, and infrared sensors in defense/space applications.",Long,High-beta
Space,PLTR,Palantir,Clarified its specific role in Space as a provider of Data-as-a-Service (Warp Core) to the U.S. Space Force for satellite command and control.,Long,High-beta
Space,LUNR,Intuitive Machines,"Lunar services and lander business with binary contract outcomes and limited diversification, appropriate as a speculative short against core holdings.",Short,High-beta
LEO Satellites,IRDM,Iridium Communications,Global satellite comms with operational LEO constellation.,Long,Core
LEO Satellites,GSAT,Globalstar,Satellite voice/data services provider.,Long,High-beta
LEO Satellites,ASTS,AST SpaceMobile,Direct-to-cell satellite broadband network.,Long,High-beta
LEO Satellites,SPIR,Spire Global,Data analytics via LEO satellite constellation (weather/tracking).,Long,High-beta
LEO Satellites,SATL,Satellogic,High-resolution earth observation imagery.,Long,High-beta
LEO Satellites,AMZN,Amazon,Project Kuiper LEO broadband constellation.,Long,Core
LEO Satellites,MSFT,Microsoft,Azure Space integrating satellite connectivity.,Long,Core
LEO Satellites,AAPL,Apple,Satellite connectivity for iPhone emergency services.,Long,Core
LEO Satellites,TSLA,Tesla,SpaceX (Starlink) connection; operates massive LEO internet constellation.,Long,Core
LEO Satellites,RKLB,Rocket Lab,Launch provider and space systems; competitor to SpaceX.,Long,Core
Robotics,ROK,Rockwell Automation,Global leader in industrial automation and information solutions.,Long,Defensive
Robotics,NVDA,NVIDIA,GPU manufacturer whose high-performance computing is essential for AI and robotics.,Long,Core
Robotics,EMR,Emerson Electric,Provides automation solutions for industrial and commercial applications.,Long,Defensive
Robotics,ISRG,Intuitive Surgical,Leader in robotic-assisted minimally invasive surgery (da Vinci systems).,Long,Core
Robotics,HON,Honeywell,Diversified tech and manufacturing giant with strong foothold in industrial automation.,Long,Defensive
Robotics,TER,Teradyne,Automated test equipment and industrial automation solutions.,Long,Core
Robotics,TSLA,Tesla,Developing Optimus humanoid robot and autonomous technologies.,Long,Core
Robotics,AMZN,Amazon,Amazon Robotics (Kiva) for warehouse efficiency and Scout delivery robots.,Long,Core
Robotics,GOOGL,Alphabet,Intrinsic subsidiary developing software to make industrial robots more flexible.,Long,Core
Quantum Computing,IONQ,IonQ,"Leader in trapped-ion quantum computing, offering cloud-based quantum services.",Long,High-beta
Quantum Computing,RGTI,Rigetti Computing,Developing superconducting quantum processors and hybrid quantum-classical computing.,Long,High-beta
Quantum Computing,QBTS,D-Wave Quantum,Commercial leader in quantum annealing technology for optimization problems.,Long,High-beta
Quantum Computing,GOOGL,Alphabet,Achieved 'Quantum Supremacy' with Sycamore processor; investing heavily in hardware/algo.,Long,Core
Quantum Computing,IBM,IBM,Pioneer with IBM Q System One and cloud-based quantum services.,Long,Defensive
Quantum Computing,MSFT,Microsoft,Azure Quantum platform and topological qubit research.,Long,Core
Quantum Computing,HON,Honeywell,Quantinuum subsidiary focuses on trapped-ion quantum processors.,Long,Defensive
Quantum Computing,NVDA,NVIDIA,Provides cuQuantum SDK for quantum simulation on GPUs.,Long,Core
Quantum Computing,AMZN,Amazon,AWS Braket service providing access to multiple quantum hardware providers.,Long,Core
Quantum Computing,AEVA,Aeva Technologies,LiDAR specialist whose quantum sensing tech has potential computing applications.,Long,High-beta
AI Value Reset,ORCL,Oracle,"AI infra narrative supported the rerating, but latest results show cloud growth slowing and capex delays, making it a key name for AI capex deceleration.",Short,Core
AI Value Reset,AVGO,Broadcom,"AI chip segment is strong but offset by weaker legacy and memory businesses; market questions the durability of peak AI margins, making it a high-beta de-rating candidate.",Short,High-beta
AI Value Reset,ADBE,Adobe,"Generative AI tools threaten Creative Cloud pricing power and user growth, turning Adobe into a classic incumbent at risk of AI disruption.",Short,High-beta
AI Value Reset,INTC,Intel,"Demand is shifting toward GPUs and custom AI silicon while foundry investments compress margins, making Intel a relative loser in the AI infrastructure build-out.",Short,Core
AI Value Reset,DOCU,DocuSign,"LLMs and AI agents can automate drafting and contract workflows, undermining DocuSign’s seat-based model and long-term pricing power.",Short,High-beta
AI Value Reset,WDAY,Workday,"AI copilots and automation can reduce the need for human seats in HR and finance tools, exposing Workday’s growth and high multiple to downside risk.",Short,Core
AI Value Reset,CRM,Salesforce,"Einstein and AI add-ons have limited revenue impact versus expectations; if enterprise IT spend slows, Salesforce’s premium SaaS valuation is vulnerable.",Short,Core
AI Value Reset,SNOW,Snowflake,"Positioned as AI data infrastructure, but usage-based revenue is very sensitive to delayed AI workloads, making its rich multiple at risk in a slowdown.",Short,High-beta
AI Value Reset,MDB,MongoDB,Faces pressure from open-source and cloud-native databases; the AI story supports high multiples that can unwind quickly if growth normalizes.,Short,High-beta
AI Value Reset,PLTR,Palantir,"Retail investors treat Palantir as a combined defense, AI and big-data story; price is highly sensitive to headlines and narrative shifts.",Long,High-beta
EV Hangover,RIVN,Rivian,"High cash burn, heavy capex and scaling risk make Rivian very sensitive to higher rates and weaker EV demand.",Short,High-beta
EV Hangover,LCID,Lucid Group,"Luxury-only positioning and limited scale hurt economics, making the stock a favored short when EV sentiment deteriorates.",Short,High-beta
EV Hangover,ALB,Albemarle,"Lithium oversupply and lower prices have compressed margins and earnings, linking Albemarle to the downside of the EV raw materials cycle.",Short,Core
EV Hangover,LAC,Lithium Americas,"Pre-revenue, capital-intensive projects make it highly exposed to delayed EV capex and funding risk.",Short,High-beta
EV Hangover,STLA,Stellantis,More measured EV/hybrid roadmap and strong legacy cash flows provide downside protection versus aggressive pure-play EV makers.,Long,Defensive
EV Hangover,TM,Toyota,"Hybrid-first strategy has proven resilient in a high-rate, infrastructure-constrained environment, offering a rational transition path rather than pure EV risk.",Long,Defensive
EV Hangover,TSLA,Tesla,"High-margin EV business funds long-dated AI, Robotaxi and humanoid robot options, while maintaining one of the deepest global retail investor followings.",Long,Core
AI Energy & Grid,CEG,Constellation Energy,"Largest U.S. nuclear fleet with long-term contracts to hyperscalers, providing baseload power for AI data centers.",Long,Core
AI Energy & Grid,VST,Vistra Corp,Growing generation and retail portfolio with increasing exposure to data-center co-location and AI-driven power demand.,Long,Core
AI Energy & Grid,GEV,GE Vernova,"Key supplier of grid equipment and emerging small modular reactor solutions, leveraged to large-scale power and grid upgrades.",Long,Core
AI Energy & Grid,EOSE,Eos Energy,"Zinc-based long-duration storage is a high-risk, high-reward way to play renewable and data-center balancing needs.",Long,High-beta
AI Energy & Grid,OKLO,Oklo Inc,"Microreactor developer aligned with demand for distributed, reliable power near AI and HPC facilities, but still pre-revenue.",Long,High-beta
AI Energy & Grid,PWR,Quanta Services,"Engineering and construction leader in high-voltage transmission, substations and grid hardening, directly tied to data-center-driven grid investment.",Long,Core
AI Energy & Grid,NEE,NextEra Energy,Large renewable and transmission developer that offers lower-volatility exposure to rising global electricity demand from AI.,Long,Core
AI Energy & Grid,AES,AES Corp,"Actively invests in storage and high-voltage projects, positioning it as a beneficiary of the AI and data-center power build-out.",Long,Core
Crypto Companies,COIN,Coinbase Global,"Leading regulated U.S. crypto exchange and custodian, central to institutional and retail access to digital assets.",Long,Core
Crypto Companies,MSTR,MicroStrategy,"Acts as a levered listed proxy for Bitcoin via its balance sheet strategy, amplifying BTC upside and downside.",Long,High-beta
Crypto Companies,MARA,MARA Holdings,"North American miner pivoting toward HPC and AI hosting, providing exposure to both mining economics and compute infrastructure.",Long,High-beta
Crypto Companies,RIOT,Riot Platforms,"Large-scale miner that complements MARA in a pair trade, giving broader coverage of listed Bitcoin mining risk.",Long,High-beta
Retail Favorites & Flows,HOOD,Robinhood,"Core venue for U.S. retail trading, options flow and meme activity, making it a useful proxy for retail risk appetite.",Long,Sentiment-gauge
Retail Favorites & Flows,ARM,Arm Holdings,"Owns key CPU IP for mobile and emerging AI workloads; valuation depends heavily on the “AI on Arm” narrative, driving high volatility.",Long,High-beta
Retail Favorites & Flows,TSLA,Tesla,Iconic global retail favorite whose trading intensity often tracks overall speculative sentiment and liquidity conditions.,Long,Sentiment-gauge
Retail Favorites & Flows,SOFI,SoFi Technologies,High-growth fintech and neo-bank name frequently used by retail investors to express bullish views on digital finance.,Long,High-beta
Retail Favorites & Flows,GME,GameStop,Symbolic meme stock used to monitor extremes in retail speculation and social-media-driven trading regimes.,Long,Sentiment-gauge
Retail Favorites & Flows,AMC,AMC Entertainment,Another core meme stock whose price action reflects the strength or weakness of meme-style risk-taking.,Long,Sentiment-gauge
Datacenter Suppliers,VRT,Vertiv Holdings,"Leader in high-density racks and liquid cooling, directly leveraged to thermal challenges of AI GPU servers.",Long,Core
Datacenter Suppliers,ANET,Arista Networks,"Top supplier of high-speed switches and data-center networking, essential for scaling AI clusters across thousands of GPUs.",Long,Core
Datacenter Suppliers,ETN,Eaton Corp,"Provides transformers, switchgear and power distribution gear that connect the grid to racks in power-hungry data centers.",Long,Core
Datacenter Suppliers,JCI,Johnson Controls,Building automation and HVAC systems play a key role in cooling and managing next-generation high-density data centers.,Long,Core
Autonomous Driving,TSLA,Tesla,"Vertical integration of hardware, software and data positions Tesla as a leading end-to-end full self-driving and Robotaxi platform candidate.",Long,Core
Autonomous Driving,MBLY,Mobileye,"Computer-vision and ADAS supplier to many global OEMs, providing a leveraged way to play gradual adoption of higher-level driver assistance.",Long,Core
Autonomous Driving,AUR,Aurora Innovation,"Focused on Level 4 autonomous trucking, targeting long-haul freight where labor shortages and economics strongly favor autonomy.",Long,High-beta
Autonomous Driving,CRNC,Cerence,"Voice assistant and in-car AI software vendor capturing the shift toward intelligent, AI-driven cockpit experiences.",Long,High-beta
Neocloud Providers,IREN,IREN Limited,"Transitioning from crypto mining to purpose-built, high-density AI data centers, offering alternative cloud capacity for AI workloads.",Long,Core
Neocloud Providers,CORZ,Core Scientific,"Repurposes mining infrastructure into large-scale AI and HPC hosting, giving direct exposure to outsourced compute demand.",Long,Core
Open AI,MSFT,Microsoft,Core partner and Azure cloud provider.,Long,Core
Open AI,NVDA,NVIDIA,Primary GPU supplier for training clusters.,Long,Core
Open AI,ORCL,Oracle,Provides overflow cloud infrastructure capacity.,Long,Core
Open AI,AVGO,Broadcom,Partner for custom in-house AI inference chips.,Long,Core
Open AI,AMD,Advanced Micro Devices,Diversified supplier of AI accelerators (MI300).,Long,Core
Google Supplier,AVGO,Broadcom,Co-designer of Google's custom TPU chips.,Long,Core
Google Supplier,ANET,Arista Networks,Key supplier for high-speed data center networking.,Long,Core
Google Supplier,MRVL,Marvell Technology,Supplier of optical interconnects and custom silicon.,Long,Core
Google Supplier,VRT,Vertiv,Critical power and cooling infrastructure for high-density racks.,Long,Core
Heat Dissipation,VRT,Vertiv,"Leader in data center thermal management, including liquid cooling for AI.",Long,Core
Heat Dissipation,NVDA,NVIDIA,High-performance GPUs driving the need for advanced liquid cooling solutions.,Long,Core
Heat Dissipation,AMD,AMD,High-performance chips requiring advanced cooling; partnering on liquid cooling tech.,Long,Core
Heat Dissipation,INTC,Intel,Developing immersion cooling and cold plate technologies for data centers.,Long,Defensive
Heat Dissipation,MSFT,Microsoft,Investing in liquid cooling (immersion) for Azure data centers.,Long,Core
Heat Dissipation,EQIX,Equinix,Data center provider implementing liquid cooling for high-density workloads.,Long,Defensive
Heat Dissipation,GOOGL,Alphabet,Investing in liquid cooling for TPUs and AI workloads.,Long,Core
Heat Dissipation,HON,Honeywell,Solstice fluid technology for phase-change liquid cooling.,Long,Defensive
Heat Dissipation,SMCI,Super Micro Computer,Integrates liquid cooling technology into high-performance server racks.,Long,Core
Drones,LMT,Lockheed Martin,Major defense contractor with various UAV systems.,Long,Defensive
Drones,NOC,Northrop Grumman,Maker of Global Hawk and other advanced UAVs.,Long,Defensive
Drones,GD,General Dynamics,Defense products including drone technology.,Long,Defensive
Drones,BA,Boeing,Military drones like ScanEagle.,Long,Defensive
Drones,RTX,RTX Corp,Advanced defense tech including drone systems.,Long,Defensive
Drones,AVAV,AeroVironment,Leader in tactical drones and Switchblade loitering munitions.,Long,Core
Drones,KTOS,Kratos Defense,High-performance target drones and combat UAVs.,Long,Core
Drones,TXT,Textron,Produces Shadow tactical UAVs.,Long,Defensive
Drones,LHX,L3Harris,Unmanned systems and defense technology.,Long,Defensive
Drones,UMAC,Unusual Machines,Drone manufacturer gaining attention after Elon Musk comments.,Long,High-beta
Silicon Photonics,INTC,Intel,Silicon photonics for data center optical comms.,Long,Defensive
Silicon Photonics,CSCO,Cisco,Networking leader using SiPh for high-speed data transmission.,Long,Core
Silicon Photonics,LITE,Lumentum,Optical products for telecom and datacom.,Long,Core
Silicon Photonics,AVGO,Broadcom,High-performance semi and optical components.,Long,Core
Silicon Photonics,MTSI,MACOM,Analog and photonics solutions for telecom/datacenters.,Long,High-beta
Silicon Photonics,AAOI,Applied Optoelectronics,Optical modules for data centers.,Long,High-beta
Silicon Photonics,GFS,GlobalFoundries,Foundry manufacturing silicon photonics chips.,Long,Core
Silicon Photonics,MRVL,Marvell,Connectivity/storage semi with SiPh focus.,Long,Core
Silicon Photonics,NOK,Nokia,Integrating silicon photonics into network infrastructure.,Long,Defensive
Nuclear Energy,CEG,Constellation Energy,Largest US nuclear operator; supplying Microsoft data centers.,Long,Core
Nuclear Energy,VST,Vistra,Power generator with significant nuclear assets.,Long,Core
Nuclear Energy,EXC,Exelon,Major utility with large nuclear fleet.,Long,Defensive
Nuclear Energy,D,Dominion Energy,Utility with nuclear assets.,Long,Defensive
Nuclear Energy,DUK,Duke Energy,Major utility with nuclear facilities.,Long,Defensive
Nuclear Energy,OKLO,Oklo,SMR developer backed by Sam Altman.,Long,High-beta
Nuclear Energy,SMR,NuScale Power,SMR technology developer.,Long,High-beta
Nuclear Energy,BWXT,BWX Technologies,Nuclear components and fuel; involved in fusion R&D.,Long,Defensive
Nuclear Energy,NEE,NextEra Energy,Renewables giant with nuclear assets.,Long,Core
Nuclear Energy,SO,Southern Company,Nuclear power facilities and tech development.,Long,Defensive
Nuclear Energy,ETR,Entergy,Operates multiple nuclear power plants.,Long,Defensive
Nuclear Energy,PEG,Public Service Enterprise Group,Nuclear assets and tech development.,Long,Defensive
Nuclear Energy,AEP,American Electric Power,Nuclear facilities and tech.,Long,Defensive
Nuclear Energy,CCJ,Cameco,World's largest publicly traded uranium miner.,Long,Core
Nuclear Energy,UUUU,Energy Fuels,Uranium and rare earth production.,Long,High-beta
Nuclear Energy,DNN,Denison Mines,Uranium mining and exploration.,Long,High-beta
Nuclear Energy,UEC,Uranium Energy Corp,Uranium exploration and mining.,Long,High-beta
Nuclear Energy,FLR,Fluor Corporation,"Nuclear facility design, construction, and management.",Long,Defensive
Nuclear Energy,J,Jacobs Engineering,Engineering and tech services for nuclear industry.,Long,Defensive
Nuclear Energy,BW,Babcock & Wilcox,Nuclear equipment design and manufacturing.,Long,Defensive
Fintech-Broker,HOOD,Robinhood,Fintech - Brokerage category.,Long,High-beta
Fintech-Broker,IBKR,Interactive Brokers,Fintech - Brokerage category.,Long,Core
Fintech-Broker,FUTU,Futu Holdings,Fintech - Brokerage category.,Long,High-beta
Fintech - Payments,PAYO,Payoneer,Fintech - Remittance category.,Long,High-beta
Fintech - Payments,MARA,Mastercard,Fintech - Insurtech category.,Long,Core
Fintech - Payments,V,Visa,Fintech - Insurtech category.,Long,Core
Fintech - Payments,PYPL,PayPal,Fintech - Payments category.,Long,Core
Fintech - Payments,ADYEY,Adyen,Fintech - Payments category.,Long,High-beta
Fintech - High Beta,SOFI,SoFi Technologies,Fintech - Digital Banking category.,Long,High-beta
Fintech - High Beta,UPST,Upstart,Fintech - Lending category.,Long,High-beta
Fintech - High Beta,AFRM,Affirm,Fintech - BNPL category.,Long,High-beta
Bio-Revolution,LLY,Eli Lilly,"The king of weight-loss drugs, its market capitalization is approaching that of Trillion.",Long,Defensive
Bio-Revolution,NVO,Novo Nordisk,"Europe's top stock, developer of Wegovy.",Long,Defensive
Bio-Revolution,VKTX,Viking Therapeutics,"High-beta - A favorite potential acquisition target on Reddit, possessing next-generation oral drug technology.",Long,High-beta
Bio-Revolution,AMGN,Amgen,"Defensive - Developing MariTide, which has a different pharmacological mechanism.",Long,Defensive
Cybersecurity,PANW,Palo Alto Networks,The clear winner in platformization; consolidating security spend from enterprises into a single unified platform.,Long,Core
Cybersecurity,CRWD,CrowdStrike,"Despite past outages, remains the gold standard for endpoint protection and cloud security with high switching costs.",Long,Core
Cybersecurity,FTNT,Fortinet,"High-margin, profitable growth story focusing on firewalls and secure networking; defensive valuation compared to peers.",Long,Defensive
Cybersecurity,NET,Cloudflare,Essential infrastructure for the internet; acts as the 'gatekeeper' for AI traffic and edge computing.,Long,High-beta
Deregulation,GS,Goldman Sachs,Primary beneficiary of revived IPO markets and M&A activity driven by expected looser financial regulations.,Long,Core
Deregulation,KKR,KKR & Co,Private equity giant poised to deploy massive dry powder as deal-making environments improve.,Long,Core
Deregulation,XOM,Exxon Mobil,Energy giant benefiting from 'drill baby drill' policies; serves as a defensive hedge against tech volatility.,Long,Defensive
